-3, 0, 1, -1
-2, 0, 1, -1
-1, 0, 0, -2
-1, -1, 0, -2
0, -1, 0, -2
0, -1, 0, -3
0, -1, 0, -3
0, -1, 0, -3
1, -1, 0, -3
1, -1, 0, -3
1, -1, 0, -3
2, -1, 0, -3
2, -1, 0, -3
2, -1, 0, -2
3, -1, 0, -2
3, -1, 0, -2
4, 0, 0, -2
4, 0, 0, -2
4, 0, 1, -1
4, 0, 1, -1
5, 0, 1, -1
5, 0, 2, 0
5, 0, 2, 0
6, 1, 2, 0
6, 1, 2, 0
6, 1, 3, 0
7, 1, 3, 0
7, 2, 3, 0
7, 2, 3, 0
8, 2, 4, 1
8, 2, 4, 1
8, 2, 4, 1
9, 3, 4, 1
9, 3, 4, 1
10, 3, 4, 1
10, 3, 4, 1
11, 3, 4, 1
11, 3, 4, 1
11, 3, 4, 1
12, 3, 4, 1
12, 3, 4, 1
13, 2, 4, 1
13, 2, 4, 1
13, 2, 4, 1
14, 2, 3, 0
14, 2, 3, 0
15, 2, 3, 0
15, 1, 3, 0
15, 1, 3, 0
16, 1, 2, 0
16, 1, 2, 0
16, 1, 2, 0
17, 0, 2, 0
17, 0, 2, 0
18, 0, 2, 0
18, 0, 2, 0
18, 0, 1, -1
19, 0, 1, -1
19, 0, 1, -1
20, 0, 1, -1
20, 0, 1, -1
20, 0, 1, -1
21, 0, 1, -1
21, 0, 1, -1
22, 0, 1, -1
22, 0, 1, -1
23, 0, 1, -1
23, 0, 1, -1
23, 0, 1, -1
24, 0, 2, 0
24, 0, 2, 0
25, 0, 2, 0
25, 0, 2, 0
26, 0, 2, 0
26, 0, 2, 0
26, 0, 2, 0
27, 1, 2, 0
27, 1, 2, 0
28, 1, 2, 0
28, 1, 2, 0
29, 1, 2, 0
29, 1, 2, 0
30, 1, 3, 0
30, 1, 3, 0
30, 1, 3, 0
31, 1, 3, 0
31, 1, 3, 0
32, 1, 3, 0
32, 1, 3, 0
33, 1, 3, 0
33, 1, 3, 0
33, 1, 3, 0
34, 1, 3, 0
34, 1, 3, 0
35, 1, 3, 0
35, 1, 2, 0
35, 1, 2, 0
36, 1, 2, 0
36, 1, 2, 0
37, 1, 2, 0
